"TF_cell_line","CC"
"FOSL1_HepG2",0.66497998309061
"FOSL2_HepG2",0.778692243784966
"FOXA1_HepG2",0.422194519143872
"FOXA2_HepG2",0.669551643431894
"FOXA3_HepG2",0.552126109775382
"FOXK1_HepG2",-0.101683453689869
"FOXK2_HepG2",0.38309942168833
"FOXP1_HepG2",0.650374011631275
"GABPA_HepG2",-0.46834413393927
"GATA2_HepG2",-0.0981042179902092
"GATA4_HepG2",0.487158497062828
"GFI1_HepG2",0.719761700189771
"HINFP_HepG2",0.26126684335906
"HLF_HepG2",0.657205597860229
"HNF1A_HepG2",0.421529143269658
"HNF1B_HepG2",0.328589248116728
"HNF4A_HepG2",0.79517710365594
"HNF4G_HepG2",0.165298550296302
"HOXA5_HepG2",-0.3797914252514
"HSF2_HepG2",0.368188223124479
