TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
HEY1,K562,HEY1_K562,0.869147267722453,81,18,0.755464249885219
SREBF2,K562,SREBF2_K562,0.869147088466096,108,24,0.77405340472599
ZNF460,HepG2,ZNF460_HepG2,0.867477249276138,42424,2392,0.999999999983779
ZNF24,HepG2,ZNF24_HepG2,0.854166448204937,9831,563,0.999829814867009
ETV1,K562,ETV1_K562,0.845454726711833,10349,2364,0.999999999999787
TFAP4,HepG2,TFAP4_HepG2,0.839009472670098,28629,1669,0.999999999995044
MXI1,K562,MXI1_K562,0.82416351777589,623,146,0.982933387718857
ZNF317,HepG2,ZNF317_HepG2,0.814520741267812,6111,367,0.999908104883788
HOXA5,HepG2,HOXA5_HepG2,0.80004458823814,507,31,0.901849686651983
TBX2,HepG2,TBX2_HepG2,0.799883342557318,7244,443,0.99999568065805
ATF2,HepG2,ATF2_HepG2,0.797380323802176,19481,1195,0.999999999999914
TEAD1,K562,TEAD1_K562,0.794474727546012,1740,423,0.999985320596978
ZKSCAN1,HeLa-S3,ZKSCAN1_HeLa-S3,0.788676454918459,2962,27,0.905980634839285
JUN,K562,JUN_K562,0.783918880482558,3856,950,0.999999999976085
ETS2,K562,ETS2_K562,0.772575411701863,36,9,0.817888249372123
MGA,K562,MGA_K562,0.770567693979092,2334,585,0.999999982848588
ZBTB26,HepG2,ZBTB26_HepG2,0.765762078252815,6982,446,0.99999993882056
MAFK,HeLa-S3,MAFK_HeLa-S3,0.762763437786653,31195,294,0.999996016407305
ATF4,HepG2,ATF4_HepG2,0.757780543497397,852,55,0.977790938154844
DLX6,HepG2,DLX6_HepG2,0.745996525647632,671,44,0.972027910986075
RREB1,HepG2,RREB1_HepG2,0.744924423637028,17941,1178,1
GABPA,K562,GABPA_K562,0.731312469759648,13945,3682,1
ZKSCAN1,HepG2,ZKSCAN1_HepG2,0.731087994646528,2466,165,0.999921187331915
NR2F2,MCF-7,NR2F2_MCF-7,0.729747338534868,20396,231,0.999997620772672
TBX3,HepG2,TBX3_HepG2,0.728759719610045,2041,137,0.999755105884469
MEIS2,HepG2,MEIS2_HepG2,0.71870259939372,2674,182,0.999984426663153
ESRRB,K562,ESRRB_K562,0.714632104355042,37,10,0.872102707436037
ETV6,K562,ETV6_K562,0.70892004481875,1270,346,0.999999983302461
MIXL1,HepG2,MIXL1_HepG2,0.706145446478365,2353,163,0.999982872614888
HSF2,HepG2,HSF2_HepG2,0.685117371579133,4622,330,0.999999999876197
USF1,HepG2,USF1_HepG2,0.679045945424493,25090,1807,1
CLOCK,K562,CLOCK_K562,0.676001777433395,126,36,0.982804045856453
USF2,HeLa-S3,USF2_HeLa-S3,0.659806467889313,36532,398,0.999999999999996
ESR1,MCF-7,ESR1_MCF-7,0.659560721972643,36872,462,1
ZNF282,K562,ZNF282_K562,0.659518989696993,881,258,0.99999999391376
SREBF1,K562,SREBF1_K562,0.645271109657651,294,88,0.999797977306724
JUN,HepG2,JUN_HepG2,0.632102899216014,10804,836,1
MEIS1,HepG2,MEIS1_HepG2,0.630221288907527,773,60,0.999555112259903
NFIB,MCF-7,NFIB_MCF-7,0.624579093375915,139359,1843,1
NKX3-1,HepG2,NKX3-1_HepG2,0.619627358713107,152,12,0.955752683857158
TP53,HepG2,TP53_HepG2,0.615315475124453,2629,209,0.999999999902189
TCF3,K562,TCF3_K562,0.605645441136242,3020,963,1
ZSCAN29,K562,ZSCAN29_K562,0.597610061388592,1018,329,0.999999999999997
MNT,K562,MNT_K562,0.593867209024018,5957,1937,1
ATF7,HepG2,ATF7_HepG2,0.588208836197967,15467,1286,1
TFCP2,K562,TFCP2_K562,0.585864265929805,273,90,0.999990283460695
SMAD3,HepG2,SMAD3_HepG2,0.584783500434882,1052,88,0.999997536568127
ZKSCAN5,HepG2,ZKSCAN5_HepG2,0.583451738186733,6322,530,1
TEAD2,K562,TEAD2_K562,0.580249816181402,1370,456,1
ZKSCAN1,MCF-7,ZKSCAN1_MCF-7,0.567553176016913,1854,27,0.997594802801814
ELF1,K562,ELF1_K562,0.567511465391371,13682,4654,1
RFX1,K562,RFX1_K562,0.551957759561364,6709,2347,1
CREB1,HepG2,CREB1_HepG2,0.549488833475414,13404,1193,1
ELF3,HepG2,ELF3_HepG2,0.546649167603445,25714,2300,1
ETV4,HepG2,ETV4_HepG2,0.544701085271218,9678,869,1
IRF2,HepG2,IRF2_HepG2,0.541481325556616,5668,512,1
BHLHE40,K562,BHLHE40_K562,0.540951168300834,4342,1550,1
MTF1,HepG2,MTF1_HepG2,0.522910615522416,620,58,0.999995156112104
ATF7,K562,ATF7_K562,0.521045393023288,5305,1966,1
MAX,K562,MAX_K562,0.5119565629371,7077,2669,1
CREB3,K562,CREB3_K562,0.504526444545808,512,196,0.999999999999996
MXI1,HepG2,MXI1_HepG2,0.494025561074732,2131,211,1
KLF6,K562,KLF6_K562,0.492137737225516,609,239,1
CREB1,K562,CREB1_K562,0.478256151727078,2370,957,1
MAX,HepG2,MAX_HepG2,0.478030611001858,15426,1578,1
IRF5,HepG2,IRF5_HepG2,0.468300451387128,718,75,0.999999995345484
ESRRA,MCF-7,ESRRA_MCF-7,0.465328452569604,15991,284,1
SMAD5,K562,SMAD5_K562,0.464582264448743,267,111,0.999999999949699
RFX7,K562,RFX7_K562,0.4635448430243,24,10,0.984844656389707
NR2C2,K562,NR2C2_K562,0.453808562233312,14032,5967,1
NEUROD1,K562,NEUROD1_K562,0.453342616596202,1007,429,1
USF2,HepG2,USF2_HepG2,0.451340856439141,10078,1092,1
SREBF1,MCF-7,SREBF1_MCF-7,0.437107011010557,9520,180,1
MYBL2,K562,MYBL2_K562,0.43456848064526,189,84,0.999999999301694
E2F7,K562,E2F7_K562,0.431588066164813,181,81,0.999999998955733
NR2C2,HepG2,NR2C2_HepG2,0.421379663037897,26233,3043,1
RELA,HepG2,RELA_HepG2,0.42128927950055,1378,160,1
MNT,HepG2,MNT_HepG2,0.416277202493632,7652,899,1
REST,HeLa-S3,REST_HeLa-S3,0.405736203040423,18684,331,1
NFATC3,HepG2,NFATC3_HepG2,0.405500790168428,315,38,0.999999240512554
ZSCAN29,HepG2,ZSCAN29_HepG2,0.397924007084439,1928,237,1
RBPJ,HepG2,RBPJ_HepG2,0.392520153097405,5353,667,1
MLX,K562,MLX_K562,0.38628399014111,126,63,0.99999999786858
PKNOX1,MCF-7,PKNOX1_MCF-7,0.385697866638578,40852,875,1
SNAI1,HepG2,SNAI1_HepG2,0.384451259566566,3482,443,1
ZBTB7B,HepG2,ZBTB7B_HepG2,0.381553384841872,6569,842,1
GABPA,HepG2,GABPA_HepG2,0.381062894517004,17616,2260,1
ZNF274,HepG2,ZNF274_HepG2,0.378145565787284,2528,327,1
CREB3L1,K562,CREB3L1_K562,0.377056889932074,1066,546,1
MYBL2,HepG2,MYBL2_HepG2,0.373018025369695,1304,171,1
TGIF2,HepG2,TGIF2_HepG2,0.367490899506776,3381,450,1
HES1,K562,HES1_K562,0.36051721649993,560,300,1
