TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
ELF3,HepG2,ELF3_HepG2,0.545904430802388,25740,2300,1
BHLHE40,K562,BHLHE40_K562,0.545868174905095,4396,1550,1
ETV4,HepG2,ETV4_HepG2,0.543915139781302,9687,869,1
IRF2,HepG2,IRF2_HepG2,0.541818090908099,5685,512,1
MTF1,HepG2,MTF1_HepG2,0.521671128811241,620,58,0.999995471489744
ATF7,K562,ATF7_K562,0.519321318500179,5305,1966,1
MAX,K562,MAX_K562,0.51675389928901,7167,2669,1
CREB3,K562,CREB3_K562,0.515625637325058,525,196,0.999999999999977
MXI1,HepG2,MXI1_HepG2,0.492854503800622,2131,211,1
KLF6,K562,KLF6_K562,0.490509701265588,609,239,1
MAX,HepG2,MAX_HepG2,0.47801046097783,15462,1578,1
CREB1,K562,CREB1_K562,0.476673896394164,2370,957,1
IRF5,HepG2,IRF5_HepG2,0.467190408085967,718,75,0.999999995765604
ESRRA,MCF-7,ESRRA_MCF-7,0.466276927408578,16063,284,1
SMAD5,K562,SMAD5_K562,0.463045411054806,267,111,0.999999999957618
RFX7,K562,RFX7_K562,0.462011440297732,24,10,0.985143054148752
NR2C2,K562,NR2C2_K562,0.453209494692614,14060,5967,1
USF2,HepG2,USF2_HepG2,0.453175545456742,10143,1092,1
NEUROD1,K562,NEUROD1_K562,0.45184288820415,1007,429,1
SREBF1,MCF-7,SREBF1_MCF-7,0.437225449106399,9546,180,1
MYBL2,K562,MYBL2_K562,0.433130919504599,189,84,0.999999999391548
E2F7,K562,E2F7_K562,0.430160364871868,181,81,0.999999999086383
NR2C2,HepG2,NR2C2_HepG2,0.422063860566239,26338,3043,1
RELA,HepG2,RELA_HepG2,0.420290655504215,1378,160,1
MNT,HepG2,MNT_HepG2,0.416755916892773,7679,899,1
REST,HeLa-S3,REST_HeLa-S3,0.405942001082883,18744,331,1
NFATC3,HepG2,NFATC3_HepG2,0.404539613467315,315,38,0.999999281108387
ZSCAN29,HepG2,ZSCAN29_HepG2,0.399245784222441,1939,237,1
RBPJ,HepG2,RBPJ_HepG2,0.392248099511553,5362,667,1
PKNOX1,MCF-7,PKNOX1_MCF-7,0.385806446467112,40964,875,1
MLX,K562,MLX_K562,0.385006159122351,126,63,0.999999998095758
SNAI1,HepG2,SNAI1_HepG2,0.38453133387078,3491,443,1
ZBTB7B,HepG2,ZBTB7B_HepG2,0.381286348522874,6580,842,1
GABPA,HepG2,GABPA_HepG2,0.380439955661885,17629,2260,1
ZNF274,HepG2,ZNF274_HepG2,0.377249187175791,2528,327,1
CREB3L1,K562,CREB3L1_K562,0.375809522952208,1066,546,1
MYBL2,HepG2,MYBL2_HepG2,0.37213382496713,1304,171,1
TGIF2,HepG2,TGIF2_HepG2,0.366619761153607,3381,450,1
MYC,K562,MYC_K562,0.361435381649281,6126,3261,1
HES1,K562,HES1_K562,0.359324596032456,560,300,1
RFX1,MCF-7,RFX1_MCF-7,0.358533553586276,41247,948,1
NRL,HepG2,NRL_HepG2,0.358530924493012,1080,147,1
MNX1,HepG2,MNX1_HepG2,0.354383309916951,915,126,1
ELF4,K562,ELF4_K562,0.350001790661907,3925,2158,1
BHLHE40,HepG2,BHLHE40_HepG2,0.349489158448492,7966,1112,1
ZNF24,MCF-7,ZNF24_MCF-7,0.348743161400178,28393,671,1
REST,HepG2,REST_HepG2,0.343164736821559,6675,949,1
NFYB,K562,NFYB_K562,0.340372417409164,3035,1716,1
CREB1,MCF-7,CREB1_MCF-7,0.329132732808074,37426,937,1
ZNF263,K562,ZNF263_K562,0.320791471206372,2642,1585,1
ZNF263,HepG2,ZNF263_HepG2,0.319732196999813,30876,4706,1
ERF,K562,ERF_K562,0.318749558711836,255,154,1
ATF3,HepG2,ATF3_HepG2,0.315397131045368,2663,412,1
ELF1,HepG2,ELF1_HepG2,0.315040466725833,20930,3239,1
CREM,K562,CREM_K562,0.308212678112191,5136,3206,1
ATF7,MCF-7,ATF7_MCF-7,0.307251887490181,30872,828,1
CLOCK,MCF-7,CLOCK_MCF-7,0.304673503872426,4065,110,1
ZNF143,K562,ZNF143_K562,0.301221935142192,2401,1534,1
MXI1,HeLa-S3,MXI1_HeLa-S3,0.300823319140064,4154,99,1
SOX18,HepG2,SOX18_HepG2,0.298386694177374,214,35,0.999999997958942
RFX5,HeLa-S3,RFX5_HeLa-S3,0.292192923903593,6725,165,1
HSF1,MCF-7,HSF1_MCF-7,0.29040544168668,1268,36,0.999999999805188
E2F8,K562,E2F8_K562,0.290390973984406,614,407,1
ZNF740,K562,ZNF740_K562,0.283793833845605,14292,9677,1
MAX,HeLa-S3,MAX_HeLa-S3,0.28030356504699,14586,373,1
VEZF1,K562,VEZF1_K562,0.277218875940658,8109,5625,1
NFYA,K562,NFYA_K562,0.276206622166022,1570,1094,1
KLF16,K562,KLF16_K562,0.269715116257401,3158,2253,1
ISX,HepG2,ISX_HepG2,0.264923844640014,114,21,0.999999684108852
