TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
NFE2L2_HeLa-S3,NFE2L2,HeLa-S3,0.131256161101016,15342,1306,1,87.549
NFE2L2_HepG2,NFE2L2,HepG2,0.214495370821335,16786,1673,1,75.313
NFIL3_HepG2,NFIL3,HepG2,0.0962203303258444,22563,5012,1,51.022
NFKB2_HepG2,NFKB2,HepG2,0.0636589477692089,10072,3382,1,11.14
NFYA_HeLa-S3,NFYA,HeLa-S3,0.115315288681974,16472,1596,1,12.506
NFYA_HepG2,NFYA,HepG2,0.0329051014313738,8306,5395,1,10.116
NFYA_K562,NFYA,K562,0.0556733253098088,4758,5418,1,15.622
NFYB_HeLa-S3,NFYB,HeLa-S3,0.141674782549417,31080,2451,1,21.263
NFYB_K562,NFYB,K562,0.0649110568336538,10213,9973,1,12.34
NFYC_HepG2,NFYC,HepG2,0.0594427428108299,18040,6486,1,18.392
NR2C1_K562,NR2C1,K562,0.0910391179415352,11235,7823,1,12.955
NR2F1_HepG2,NR2F1,HepG2,0.0879754914247255,33004,8017,1,28.148
NR5A1_HepG2,NR5A1,HepG2,0.102270402333332,33646,7031,1,28.131
NRF1_K562,NRF1,K562,0.0250423132341648,27950,70583,1,12.513
PBX2_HepG2,PBX2,HepG2,0.0876205282256496,1000,244,1,37.774
PBX2_K562,PBX2,K562,0.267959509394346,21568,5103,1,49.678
POU5F1_H1,POU5F1,H1,0.0381306053297337,10412,229,1,182.963
PPARG_HepG2,PPARG,HepG2,0.0838164670299713,12771,3257,1,26.049
RBPJ_HepG2,RBPJ,HepG2,0.0591972029756951,9355,3378,1,14.793
RBPJ_K562,RBPJ,K562,0.164722787390986,717,276,1,22.697
RELA_HepG2,RELA,HepG2,0.0655165418549502,3178,1037,1,17.299
REST_H1,REST,H1,0.135258428574455,119382,740,1,17.977
REST_HeLa-S3,REST,HeLa-S3,0.262062128600773,52774,2250,1,18.564
REST_K562,REST,K562,0.0591778681452316,29446,31515,1,11.52
RFX5_H1,RFX5,H1,0.0292984188564181,4192,120,1,15.763
RFX5_HeLa-S3,RFX5,HeLa-S3,0.176762515369752,12102,765,1,57.071
RFX5_K562,RFX5,K562,0.0658213875584469,845,814,1,17.872
RXRB_HepG2,RXRB,HepG2,0.0752805140826508,21895,6216,1,34.145
